page,page_name,chart_folder,seo_filename,target_path,status
58,Adjacency Matrix,matrixchart-viz,data-studio-adjacency-matrix-chart-vizstudio.png,viz/screenshots/data-studio-adjacency-matrix-chart.png,captured
59,Multi-ring Donut,multiring-viz,data-studio-multi-ring-donut-chart-alt.png,viz/screenshots/data-studio-multi-ring-donut-chart-alt.png,pending-dup
60,Parallel Coordinates Plot,parallelcoords-viz,data-studio-parallel-coordinates-plot-alt.png,viz/screenshots/data-studio-parallel-coordinates-plot-alt.png,pending-dup
61,Parallel Sets,parallelsets-viz,data-studio-parallel-sets-chart-vizstudio.png,viz/screenshots/data-studio-parallel-sets-chart.png,captured
62,Radar Chart with Data Table,radartable-viz,data-studio-radar-chart-data-table-vizstudio.png,viz/screenshots/data-studio-radar-chart-data-table.png,captured
63,Semi-Circle Pie Chart,semicirclepie-viz,data-studio-semi-circle-pie-chart-vizstudio.png,viz/screenshots/data-studio-semi-circle-pie-chart.png,captured
64,Animated Bar Race,barrace-viz,data-studio-animated-bar-race-vizstudio.png,viz/screenshots/data-studio-animated-bar-race.png,captured
65,Bipartite Graph,bipartite-viz,data-studio-bipartite-graph-vizstudio.png,viz/screenshots/data-studio-bipartite-graph.png,captured
66,Choropleth Map,choropleth-viz,data-studio-choropleth-map-vizstudio.png,viz/screenshots/data-studio-choropleth-map.png,captured
67,Chord Diagram,chord-viz,data-studio-chord-diagram-vizstudio.png,viz/screenshots/data-studio-chord-diagram.png,captured
68,Row Over Row Comparison Table,datatable-viz,data-studio-row-over-row-data-table-vizstudio.png,viz/screenshots/data-studio-row-over-row-data-table.png,captured
69,Dependency Wheel,depwheel-viz,data-studio-dependency-wheel-chord-alt.png,viz/screenshots/data-studio-dependency-wheel-chord-alt.png,pending-dup
70,Quadrant Scatter,quadrant-viz,data-studio-quadrant-scatter-chart-vizstudio.png,viz/screenshots/data-studio-quadrant-scatter-chart.png,captured
71,Revenue Breakdown (Bar + Line Combo),revenuebreakdown-viz,data-studio-revenue-breakdown-bar-line-combo-vizstudio.png,viz/screenshots/data-studio-revenue-breakdown-bar-line-combo.png,captured
72,Variable Radius Pie Chart,varradiuspie-viz,data-studio-variable-radius-pie-chart-vizstudio.png,viz/screenshots/data-studio-variable-radius-pie-chart.png,captured
73,Semicircle Gauge,semicirclegauge-viz,data-studio-semicircle-gauge-vizstudio.png,viz/screenshots/data-studio-semicircle-gauge.png,captured
74,Small Multiples / Trellis Grid,smallmultiples-viz,data-studio-small-multiples-trellis-alt.png,viz/screenshots/data-studio-small-multiples-trellis-alt.png,pending-dup
75,Stacked Bar Chart with Negative Values (Static),stackedneg-viz,data-studio-stacked-bar-negative-static-vizstudio.png,viz/screenshots/data-studio-stacked-bar-negative-static.png,captured
76,Story Flow / Narrative,storyflow-viz,data-studio-story-flow-narrative-chart-vizstudio.png,viz/screenshots/data-studio-story-flow-narrative-chart.png,captured
77,Streamgraph,streamgraph-viz,data-studio-streamgraph-chart-vizstudio.png,viz/screenshots/data-studio-streamgraph-chart.png,captured
78,Stream Wave Chart,streamwave-viz,data-studio-stream-wave-chart-vizstudio.png,viz/screenshots/data-studio-stream-wave-chart.png,captured
79,Untitled Page,_untitled,,,skip-untitled
80,Stacked Bar Chart with Negative Values (Animated + Zoom),stackedneg-animated-viz,data-studio-stacked-bar-negative-animated-vizstudio.png,viz/screenshots/data-studio-stacked-bar-negative-animated.png,captured
81,Word / Tag Cloud,wordcloud-viz,data-studio-word-tag-cloud-vizstudio.png,viz/screenshots/data-studio-word-tag-cloud.png,captured
82,Traffic Sources Chord,trafficsrc-viz,data-studio-traffic-sources-chord-diagram-vizstudio.png,viz/screenshots/data-studio-traffic-sources-chord-diagram.png,captured
83,Variable-Radius Nested Donut,vardonut-viz,data-studio-variable-radius-nested-donut-vizstudio.png,viz/screenshots/data-studio-variable-radius-nested-donut.png,captured
84,Waffle Chart,waffle-viz,data-studio-waffle-chart-vizstudio.png,viz/screenshots/data-studio-waffle-chart.png,captured
